LANGUAGE,INCOME,CURRENT_GENDER,RACE_1,MARITAL_STATUS,EDUCATION,EMPLOYMENT,LGBT_IDENTITY,ETHNICITY_1,GENDER,OTHER_LANGUAGE,dis-score,score
40,10.0,1.0,5.0,3,1.0,2.0,0.0,1.0,2.0,1.0,0.9924,378000.0
13,10.0,-999.0,5.0,3,4.0,0.0,1.0,0.0,1.0,-999.0,0.0,0.0
13,7.0,1.0,5.0,3,3.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0
13,9.0,0.0,5.0,1,3.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0
13,9.0,1.0,5.0,3,3.0,2.0,0.0,0.0,2.0,-999.0,0.7697,5040.0
13,6.0,1.0,5.0,1,3.0,1.0,0.0,0.0,2.0,-999.0,0.0,0.0
13,5.0,1.0,5.0,3,3.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0
40,1.0,1.0,6.0,2,0.0,0.0,0.0,1.0,2.0,0.0,0.9983,2142000.0
13,5.0,0.0,5.0,3,4.0,0.0,0.0,0.0,1.0,-999.0,0.0,0.0
13,8.0,0.0,5.0,1,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
13,7.0,1.0,2.0,3,3.0,0.0,2.0,0.0,2.0,1.0,0.8948,15120.0
13,10.0,0.0,5.0,1,4.0,0.0,0.0,0.0,1.0,-999.0,0.0,0.0
13,8.0,0.0,5.0,1,4.0,3.0,1.0,0.0,1.0,1.0,0.896,15360.0
35,8.0,0.0,5.0,1,4.0,0.0,0.0,0.0,1.0,0.0,0.9922,364800.0
13,7.0,1.0,5.0,3,3.0,0.0,0.0,0.0,2.0,-999.0,0.0,0.0
13,9.0,1.0,5.0,3,4.0,2.0,2.0,0.0,2.0,-999.0,0.9771,100800.0
13,5.0,0.0,5.0,3,4.0,3.0,0.0,0.0,1.0,-999.0,0.4494,960.0
13,4.0,1.0,4.0,3,3.0,0.0,0.0,0.0,2.0,-999.0,0.0,0.0
13,9.0,1.0,5.0,3,1.0,2.0,0.0,0.0,2.0,1.0,0.9617,54000.0
13,10.0,1.0,5.0,1,3.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0
13,10.0,1.0,5.0,1,3.0,0.0,0.0,0.0,2.0,-999.0,0.0,0.0
13,7.0,1.0,5.0,1,4.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0
13,10.0,1.0,5.0,1,4.0,1.0,0.0,0.0,2.0,-999.0,0.0,0.0
13,4.0,1.0,5.0,3,2.0,3.0,0.0,0.0,2.0,-999.0,0.9179,20880.0
13,9.0,1.0,5.0,3,4.0,0.0,0.0,0.0,2.0,-999.0,0.0,0.0
13,3.0,1.0,5.0,3,3.0,1.0,0.0,0.0,2.0,-999.0,0.0,0.0
13,3.0,1.0,4.0,3,2.0,1.0,0.0,0.0,2.0,1.0,0.9835,149040.0
13,5.0,0.0,5.0,3,3.0,-999.0,0.0,0.0,1.0,-999.0,0.0,0.0
13,8.0,1.0,5.0,3,4.0,0.0,0.0,0.0,2.0,-999.0,0.0,0.0
13,10.0,1.0,2.0,1,3.0,0.0,0.0,0.0,2.0,1.0,0.1034,96.0
13,3.0,1.0,5.0,3,3.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0
13,8.0,1.0,5.0,3,4.0,3.0,0.0,0.0,2.0,-999.0,0.0,0.0
13,7.0,0.0,5.0,3,3.0,0.0,1.0,0.0,1.0,1.0,0.14,144.0
