Combination,Unique Rows,Unique Rows Excluding Columns,Score
"HandednessScore, EduComp, Ethnicity, Weight_W1",348,456,-0.008620689655172414
"HandednessScore, EduComp, Ethnicity, BMI_W1",425,456,-0.007058823529411765
"HandednessScore, EduComp, Height_W1, AgeMRI_W1",447,411,0.09395973154362416
"HandednessScore, EduComp, Height_W1, Weight_W1",425,456,-0.007058823529411765
"HandednessScore, EduComp, Height_W1, BMI_W1",425,454,-0.002352941176470588
"HandednessScore, EduComp, AgeMRI_W1, Weight_W1",451,411,0.09312638580931264
"HandednessScore, EduComp, AgeMRI_W1, BMI_W1",453,411,0.09271523178807947
"HandednessScore, EduComp, Weight_W1, BMI_W1",425,444,0.021176470588235293
"HandednessScore, Sex, Ethnicity, Height_W1",134,456,-0.022388059701492536
"HandednessScore, Sex, Ethnicity, AgeMRI_W1",297,405,0.16161616161616163
"HandednessScore, Sex, Ethnicity, Weight_W1",271,456,-0.01107011070110701
"HandednessScore, Sex, Ethnicity, BMI_W1",415,456,-0.007228915662650603
"HandednessScore, Sex, Height_W1, AgeMRI_W1",429,405,0.11188811188811189
"HandednessScore, Sex, Height_W1, Weight_W1",415,456,-0.007228915662650603
"HandednessScore, Sex, Height_W1, BMI_W1",415,452,0.0024096385542168677
"HandednessScore, Sex, AgeMRI_W1, Weight_W1",447,405,0.10738255033557047
"HandednessScore, Sex, AgeMRI_W1, BMI_W1",453,405,0.10596026490066225
"HandednessScore, Sex, Weight_W1, BMI_W1",415,446,0.016867469879518072
"HandednessScore, Ethnicity, Height_W1, AgeMRI_W1",424,413,0.09433962264150944
"HandednessScore, Ethnicity, Height_W1, Weight_W1",410,456,-0.007317073170731708
"HandednessScore, Ethnicity, Height_W1, BMI_W1",410,454,-0.0024390243902439024
"HandednessScore, Ethnicity, AgeMRI_W1, Weight_W1",443,413,0.09029345372460497
"HandednessScore, Ethnicity, AgeMRI_W1, BMI_W1",453,413,0.08830022075055188
"HandednessScore, Ethnicity, Weight_W1, BMI_W1",410,446,0.01707317073170732
"HandednessScore, Height_W1, AgeMRI_W1, Weight_W1",453,411,0.09271523178807947
"HandednessScore, Height_W1, AgeMRI_W1, BMI_W1",453,286,0.3686534216335541
"HandednessScore, Height_W1, Weight_W1, BMI_W1",408,305,0.3627450980392157
"HandednessScore, AgeMRI_W1, Weight_W1, BMI_W1",453,166,0.6335540838852097
"EduComp, Sex, Ethnicity, Height_W1",68,453,0.0
"EduComp, Sex, Ethnicity, AgeMRI_W1",230,439,0.06086956521739131
"EduComp, Sex, Ethnicity, Weight_W1",203,453,0.0
"EduComp, Sex, Ethnicity, BMI_W1",374,453,0.0
"EduComp, Sex, Height_W1, AgeMRI_W1",431,439,0.03248259860788863
"EduComp, Sex, Height_W1, Weight_W1",370,453,0.0
"EduComp, Sex, Height_W1, BMI_W1",370,453,0.0
"EduComp, Sex, AgeMRI_W1, Weight_W1",448,439,0.03125
"EduComp, Sex, AgeMRI_W1, BMI_W1",456,439,0.03070175438596491
"EduComp, Sex, Weight_W1, BMI_W1",370,449,0.010810810810810811
"EduComp, Ethnicity, Height_W1, AgeMRI_W1",431,443,0.02320185614849188
"EduComp, Ethnicity, Height_W1, Weight_W1",363,453,0.0
"EduComp, Ethnicity, Height_W1, BMI_W1",363,453,0.0
"EduComp, Ethnicity, AgeMRI_W1, Weight_W1",448,443,0.022321428571428572
"EduComp, Ethnicity, AgeMRI_W1, BMI_W1",456,443,0.021929824561403508
"EduComp, Ethnicity, Weight_W1, BMI_W1",363,449,0.011019283746556474
"EduComp, Height_W1, AgeMRI_W1, Weight_W1",456,443,0.021929824561403508
"EduComp, Height_W1, AgeMRI_W1, BMI_W1",456,396,0.125
"EduComp, Height_W1, Weight_W1, BMI_W1",357,411,0.11764705882352941
"EduComp, AgeMRI_W1, Weight_W1, BMI_W1",456,326,0.27850877192982454
"Sex, Ethnicity, Height_W1, AgeMRI_W1",314,439,0.044585987261146494
"Sex, Ethnicity, Height_W1, Weight_W1",271,453,0.0
"Sex, Ethnicity, Height_W1, BMI_W1",271,453,0.0
"Sex, Ethnicity, AgeMRI_W1, Weight_W1",423,439,0.03309692671394799
"Sex, Ethnicity, AgeMRI_W1, BMI_W1",450,439,0.03111111111111111
"Sex, Ethnicity, Weight_W1, BMI_W1",271,449,0.014760147601476014
"Sex, Height_W1, AgeMRI_W1, Weight_W1",448,439,0.03125
"Sex, Height_W1, AgeMRI_W1, BMI_W1",448,389,0.14285714285714285
"Sex, Height_W1, Weight_W1, BMI_W1",260,396,0.21923076923076923
"Sex, AgeMRI_W1, Weight_W1, BMI_W1",448,323,0.29017857142857145
"Ethnicity, Height_W1, AgeMRI_W1, Weight_W1",450,443,0.022222222222222223
"Ethnicity, Height_W1, AgeMRI_W1, BMI_W1",450,397,0.12444444444444444
"Ethnicity, Height_W1, Weight_W1, BMI_W1",255,415,0.14901960784313725
"Ethnicity, AgeMRI_W1, Weight_W1, BMI_W1",450,333,0.26666666666666666
"Height_W1, AgeMRI_W1, Weight_W1, BMI_W1",448,151,0.6741071428571429
"Race, EduYrsEstCap, HandednessScore, EduComp, Sex",145,450,0.020689655172413793
"Race, EduYrsEstCap, HandednessScore, EduComp, Ethnicity",104,448,0.04807692307692308
"Race, EduYrsEstCap, HandednessScore, EduComp, Height_W1",317,450,0.00946372239747634
"Race, EduYrsEstCap, HandednessScore, EduComp, AgeMRI_W1",396,271,0.4595959595959596
"Race, EduYrsEstCap, HandednessScore, EduComp, Weight_W1",382,450,0.007853403141361256
"Race, EduYrsEstCap, HandednessScore, EduComp, BMI_W1",439,450,0.00683371298405467
"Race, EduYrsEstCap, HandednessScore, Sex, Ethnicity",142,456,-0.02112676056338028
"Race, EduYrsEstCap, HandednessScore, Sex, Height_W1",318,456,-0.009433962264150943
"Race, EduYrsEstCap, HandednessScore, Sex, AgeMRI_W1",411,363,0.21897810218978103
"Race, EduYrsEstCap, HandednessScore, Sex, Weight_W1",391,456,-0.0076726342710997444
"Race, EduYrsEstCap, HandednessScore, Sex, BMI_W1",443,456,-0.006772009029345372
"Race, EduYrsEstCap, HandednessScore, Ethnicity, Height_W1",309,456,-0.009708737864077669
"Race, EduYrsEstCap, HandednessScore, Ethnicity, AgeMRI_W1",391,370,0.21227621483375958
"Race, EduYrsEstCap, HandednessScore, Ethnicity, Weight_W1",383,456,-0.007832898172323759
"Race, EduYrsEstCap, HandednessScore, Ethnicity, BMI_W1",439,456,-0.00683371298405467
"Race, EduYrsEstCap, HandednessScore, Height_W1, AgeMRI_W1",449,376,0.1714922048997773
"Race, EduYrsEstCap, HandednessScore, Height_W1, Weight_W1",439,456,-0.00683371298405467
"Race, EduYrsEstCap, HandednessScore, Height_W1, BMI_W1",439,450,0.00683371298405467
"Race, EduYrsEstCap, HandednessScore, AgeMRI_W1, Weight_W1",453,376,0.16997792494481237
"Race, EduYrsEstCap, HandednessScore, AgeMRI_W1, BMI_W1",453,376,0.16997792494481237
"Race, EduYrsEstCap, HandednessScore, Weight_W1, BMI_W1",439,437,0.03644646924829157
"Race, EduYrsEstCap, EduComp, Sex, Ethnicity",44,453,0.0
"Race, EduYrsEstCap, EduComp, Sex, Height_W1",159,453,0.0
"Race, EduYrsEstCap, EduComp, Sex, AgeMRI_W1",297,410,0.1447811447811448
"Race, EduYrsEstCap, EduComp, Sex, Weight_W1",280,453,0.0
"Race, EduYrsEstCap, EduComp, Sex, BMI_W1",411,453,0.0
"Race, EduYrsEstCap, EduComp, Ethnicity, Height_W1",145,453,0.0
"Race, EduYrsEstCap, EduComp, Ethnicity, AgeMRI_W1",241,415,0.15767634854771784
"Race, EduYrsEstCap, EduComp, Ethnicity, Weight_W1",244,453,0.0
"Race, EduYrsEstCap, EduComp, Ethnicity, BMI_W1",401,453,0.0
"Race, EduYrsEstCap, EduComp, Height_W1, AgeMRI_W1",444,417,0.08108108108108109
"Race, EduYrsEstCap, EduComp, Height_W1, Weight_W1",405,453,0.0
"Race, EduYrsEstCap, EduComp, Height_W1, BMI_W1",405,447,0.014814814814814815
"Race, EduYrsEstCap, EduComp, AgeMRI_W1, Weight_W1",450,417,0.08
"Race, EduYrsEstCap, EduComp, AgeMRI_W1, BMI_W1",456,417,0.07894736842105263
"Race, EduYrsEstCap, EduComp, Weight_W1, BMI_W1",405,430,0.056790123456790124
"Race, EduYrsEstCap, Sex, Ethnicity, Height_W1",146,453,0.0
"Race, EduYrsEstCap, Sex, Ethnicity, AgeMRI_W1",290,425,0.09655172413793103
"Race, EduYrsEstCap, Sex, Ethnicity, Weight_W1",272,453,0.0
"Race, EduYrsEstCap, Sex, Ethnicity, BMI_W1",409,453,0.0
