age,sexual_attraction_M,sexual_attraction_F,gender_identity_M,gender_identity_F,education_level,sex,handedness,religious_upbringing,religious_now,background_SES,dis-score,score
24.5,,,,,2,1,1,0,0,3.0,0.0,0.0
23.75,1.0,7.0,6.0,2.0,1,1,1,0,0,6.0,0.9805,236880.0
21.75,,,,,0,1,1,0,0,4.5,0.0,0.0
24.0,1.0,7.0,2.0,1.0,2,1,1,1,0,4.5,0.9896,499680.0
22.25,1.0,7.0,7.0,1.0,2,1,1,0,0,3.0,0.0,0.0
21.75,1.0,7.0,7.0,1.0,2,1,1,0,0,4.0,0.0,0.0
20.75,,,,,2,1,1,0,0,4.0,0.0,0.0
24.5,7.0,1.0,7.0,1.0,1,1,1,0,0,4.5,0.9425,63360.0
22.5,1.0,7.0,7.0,1.0,0,1,0,0,0,6.0,0.0,0.0
24.75,,,,,0,1,1,0,0,6.0,0.0,0.0
21.5,,,,,2,0,1,0,0,3.0,0.0,0.0
23.75,,,,,0,0,1,1,1,3.5,0.0,0.0
20.25,,,,,2,1,1,0,0,4.0,0.0,0.0
24.5,7.0,1.0,1.0,7.0,0,0,1,0,0,6.0,0.0,0.0
22.25,,,,,0,1,1,0,0,5.5,0.0,0.0
26.0,5.0,3.0,1.0,7.0,1,0,1,0,1,3.5,0.9959,1529280.0
21.5,2.0,6.0,7.0,1.0,0,1,0,0,0,6.0,0.9763,187200.0
20.0,,,,,0,0,1,0,0,5.0,0.0,0.0
20.75,1.0,7.0,7.0,1.0,2,1,1,0,0,4.0,0.0,0.0
22.0,7.0,1.0,1.0,7.0,2,0,0,0,0,3.0,0.0,0.0
21.5,6.0,2.0,1.0,7.0,0,0,1,0,0,6.0,0.8611,20160.0
20.0,,,,,0,0,0,0,0,2.0,0.0,0.0
22.25,,,,,2,0,1,0,1,4.5,0.3967,1440.0
25.25,,,,,0,0,1,1,1,5.0,0.2673,720.0
21.0,,,,,1,0,1,1,1,4.5,0.8611,20160.0
21.25,7.0,2.0,1.0,6.0,0,0,1,0,0,6.0,0.9326,51840.0
24.75,7.0,1.0,1.0,7.0,0,0,1,0,1,3.5,0.6958,6240.0
21.25,,,,,2,0,1,1,1,4.5,0.0,0.0
22.25,1.0,7.0,7.0,1.0,2,1,1,1,0,4.5,0.0,0.0
24.25,,,,,0,0,1,1,1,6.0,0.0,0.0
25.5,,,,,2,1,1,0,0,3.5,0.0,0.0
20.25,1.0,7.0,6.0,2.0,2,1,1,0,1,3.0,0.963,108960.0
23.5,,,,,2,0,1,0,0,5.0,0.0,0.0
25.75,1.0,7.0,5.0,2.0,1,1,0,1,1,2.5,0.9852,329760.0
24.0,1.0,7.0,7.0,1.0,0,1,1,0,0,4.0,0.0,0.0
25.25,1.0,7.0,7.0,1.0,0,1,1,0,0,5.0,0.0,0.0
21.25,,,,,0,0,1,0,0,4.0,0.0,0.0
20.75,1.0,7.0,7.0,1.0,2,1,1,0,0,4.5,0.0,0.0
25.5,7.0,1.0,1.0,7.0,0,0,0,0,0,6.0,0.0,0.0
25.0,1.0,7.0,7.0,1.0,1,1,1,1,0,5.0,0.9822,264240.0
21.5,1.0,7.0,6.0,1.0,2,1,1,0,0,6.0,0.945,66960.0
22.25,1.0,7.0,7.0,1.0,2,1,1,0,1,4.0,0.8974,30240.0
20.25,7.0,1.0,1.0,7.0,2,0,1,0,0,3.0,0.0,0.0
23.0,,,,,0,0,1,1,0,6.0,0.0,0.0
24.25,,,,,2,1,1,0,0,3.5,0.0,0.0
23.0,,,,,2,1,1,0,0,6.0,0.9178,40320.0
25.0,,,,,2,1,1,1,0,2.0,0.0,0.0
20.5,6.0,1.0,1.0,7.0,0,0,1,1,0,3.0,0.972,153360.0
24.0,,,,,0,1,1,0,0,5.0,0.0,0.0
23.0,7.0,1.0,1.0,7.0,2,0,1,0,0,2.5,0.0,0.0
21.5,7.0,1.0,7.0,1.0,2,1,1,0,0,6.0,0.9832,283680.0
22.0,7.0,1.0,7.0,1.0,2,1,1,0,0,4.0,0.9815,252000.0
22.5,1.0,7.0,7.0,1.0,2,1,1,0,0,5.0,0.0,0.0
23.25,1.0,7.0,7.0,1.0,1,1,1,1,1,2.0,0.9303,49680.0
20.75,,,,,0,1,1,1,0,4.5,0.0,0.0
22.5,,,,,0,0,1,1,0,4.0,0.0,0.0
21.0,,,,,2,1,1,1,1,5.0,0.0,0.0
25.0,1.0,7.0,7.0,1.0,0,1,1,0,0,6.0,0.9732,161280.0
25.0,1.0,7.0,7.0,1.0,2,1,1,0,0,3.0,0.0,0.0
24.5,1.0,7.0,7.0,1.0,0,1,1,0,0,6.0,0.0,0.0
